Epic ID,Epic Name,Story ID,Story Type,Story Name,User Role,User Want,User Benefit,Acceptance Criteria,Non Functional Requirements,Story Points,Sprint,Team,Epic File
EPIC-01,Autenticacion y Seguridad,HU-01-01,User Story,Registro con email y password,visitante anonimo,crear cuenta con email y password,poder iniciar sesion y armar mazos,"AC1 email valido + password>=8 con 1 mayuscula y 1 numero -> 201 con email_verified=false; AC2 email duplicado -> 409 EMAIL_ALREADY_REGISTERED; AC3 password no devuelta ni logueada; AC4 dispara envio asincrono del codigo","Seguridad: BCrypt cost>=10; Performance: P95<500ms; Usabilidad: feedback de validacion <200ms",5,S1,A,../03_epicas/EPIC-01-AUTH/EPIC.md
EPIC-01,Autenticacion y Seguridad,HU-01-02,User Story,Verificar cuenta vio codigo email,usuario recien registrado,confirmar mi email con codigo de 6 digitos,demostrar que el email es mio y poder loguearme,"AC1 codigo recibido <30s; AC2 codigo correcto -> email_verified=true + tokens; AC3 codigo expirado 30min -> 410 CODE_EXPIRED; AC4 5 fallos -> bloqueo 15min TOO_MANY_ATTEMPTS; AC5 resend con rate limit 1/60s","Seguridad: SecureRandom + BCrypt + rate-limit persistido; Performance: envio @Async; Privacidad: bloqueo no revela existencia",5,S8,C,../03_epicas/EPIC-01-AUTH/EPIC.md
EPIC-01,Autenticacion y Seguridad,HU-01-03,User Story,Iniciar sesion,usuario verificado,loguearme con email y password,acceder a perfil mazos y partidas,"AC1 credenciales OK -> accessToken 15min + refreshToken 7d; AC2 credenciales mal -> 401 sin distinguir; AC3 email_verified=false -> 403 EMAIL_NOT_VERIFIED; AC4 refresh persistido revoked=false; AC5 tokens guardados y redirige a /home","Seguridad: JWT HS256 secret >=32 chars; Performance: P95<300ms",3,S1,A,../03_epicas/EPIC-01-AUTH/EPIC.md
EPIC-01,Autenticacion y Seguridad,HU-01-04,User Story,Cerrar sesion,usuario logueado,cerrar sesion,que mi token deje de servir,"AC1 logout revoca refresh token; AC2 refresh revocado -> 401; AC3 frontend elimina tokens y redirige","Seguridad: revocacion atomica BD; Auditoria: metrica codemon_logout_total",2,S1,A,../03_epicas/EPIC-01-AUTH/EPIC.md
EPIC-01,Autenticacion y Seguridad,HU-01-05,User Story,Renovar sesion sin reingresar credenciales,usuario activo,sesion renovada automaticamente al expirar access,no loguearme cada 15 minutos,"AC1 refresh valido -> nuevo access; AC2 refresh revocado/expirado -> 401 REFRESH_TOKEN_INVALID; AC3 interceptor reintenta request original transparente","Performance: <200ms sin bloquear UI; Seguridad: rotacion opcional",3,S1,A,../03_epicas/EPIC-01-AUTH/EPIC.md
EPIC-01,Autenticacion y Seguridad,HU-01-06,User Story,Segundo factor por email,usuario que valora su cuenta,que cada login pida codigo al email,evitar accesos no autorizados,"AC1 login con 2FA -> requires2FA=true + verificationToken; AC2 codigo recibido por email; AC3 codigo correcto -> tokens definitivos; AC4 5 fallos -> bloqueo 15min","Seguridad: codigo un solo uso; Performance: envio asincrono",5,S8,C,../03_epicas/EPIC-01-AUTH/EPIC.md
EPIC-01,Autenticacion y Seguridad,HU-01-07,User Story,Login con Google y GitHub OAuth2,usuario,entrar con Google o GitHub,no crear otra cuenta,"AC1 botones redirigen a /oauth2/authorization/{provider}; AC2 backend genera JWT propio no usa el del proveedor; AC3 nuevo via OAuth: email_verified=true password_hash=null; AC4 existente con mismo email vinculado; AC5 GitHub sin email publico -> error claro; AC6 frontend recibe via /auth/callback","Seguridad: JWT proveedor nunca persistido; Configuracion: secrets via env",8,S10,C,../03_epicas/EPIC-01-AUTH/EPIC.md
EPIC-02,Catalogo y Coleccion de Cartas,HU-02-01,User Story,Ver catalogo paginado de cartas XY1,jugador autenticado,ver grilla con las 146 cartas XY1,conocer que cartas existen,"AC1 GET /cards?page=0&size=20 -> totalElements=146; AC2 incluye cardId name supertype subtypes rarity imageSmallUrl imageLargeUrl; AC3 primera pagina <1.5s; AC4 imagenes desde MinIO","Performance: P95 backend <250ms; Disponibilidad: placeholder si MinIO falla; Almacenamiento: imagenes nunca en BD",5,S2,A+B,../03_epicas/EPIC-02-COLECCION/EPIC.md
EPIC-02,Catalogo y Coleccion de Cartas,HU-02-02,User Story,Filtrar y buscar cartas,jugador,filtrar por nombre tipo rareza supertype,encontrar rapido las cartas,"AC1 filtros combinables ?name= ?supertype= ?type= ?rarity=; AC2 busqueda case-insensitive substring; AC3 UI debounce 300ms; AC4 sin resultados -> estado vacio amigable","Performance: indices BD en name rarity supertype; Usabilidad: filtros en URL deep-link",3,S2,A+B,../03_epicas/EPIC-02-COLECCION/EPIC.md
EPIC-02,Catalogo y Coleccion de Cartas,HU-02-03,User Story,Ver detalle de una carta,jugador,abrir detalle de una carta,leer atributos completos,"AC1 GET /cards/{cardId} con attacks weaknesses resistances retreatCost; AC2 imagen large; AC3 no existe -> 404","Usabilidad: vista mobile-friendly",3,S2,A+B,../03_epicas/EPIC-02-COLECCION/EPIC.md
EPIC-02,Catalogo y Coleccion de Cartas,HU-02-04,User Story,Ver mi coleccion personal,jugador,ver cartas que poseo y cantidad,saber cuales me faltan,"AC1 GET /users/me/collection devuelve mis cartas con quantity; AC2 toggle ver-todo-el-set; AC3 filtros por rareza y supertype","Performance: indice unico (user_id, card_id); Privacidad: solo dueno",5,S8,C+B,../03_epicas/EPIC-02-COLECCION/EPIC.md
EPIC-02,Catalogo y Coleccion de Cartas,HU-02-05,User Story,Ver estadisticas de mi coleccion,jugador,ver % completado y faltantes por rareza,decidir cuantos sobres comprar,"AC1 GET /users/me/collection/stats con totalOwned totalUnique completionPct missingByRarity; AC2 calculo via vista materializada","Performance: refresco al abrir sobre",3,S8,C+B,../03_epicas/EPIC-02-COLECCION/EPIC.md
EPIC-03,Constructor de Mazos,HU-03-01,User Story,Crear mazo nuevo,jugador,crear mazo desde cero,personalizar mi estrategia,"AC1 POST /decks crea mazo vacio del usuario; AC2 201 con deckId; AC3 max 20 mazos por usuario","Seguridad: solo dueno modifica; Performance: P95<200ms",3,S2,A+B,../03_epicas/EPIC-03-MAZOS/EPIC.md
EPIC-03,Constructor de Mazos,HU-03-02,User Story,Editar mazo con drag & drop,jugador,arrastrar cartas del catalogo a mi mazo,armarlo visualmente,"AC1 catalogo izquierda mazo derecha; AC2 drag suma quantity; AC3 PUT /decks/{id} con debounce 1s; AC4 validacion en tiempo real","Usabilidad: feedback visual <100ms; Compatibilidad: Chrome Firefox Safari + tablet",8,S2,B,../03_epicas/EPIC-03-MAZOS/EPIC.md
EPIC-03,Constructor de Mazos,HU-03-03,User Story,Validar mazo TCG XY1,jugador,validacion automatica de mi mazo,no entrar a partida con mazo ilegal,"AC1 R-DECK-01 exactamente 60 cartas; AC2 R-DECK-02 minimo 1 Basico (excluye Restored); AC3 R-DECK-03 max 4 copias excepto Energia Basica; AC4 R-DECK-04 max 4 Special Energy; AC5 R-DECK-05 max 1 ACE SPEC; AC6 POST /decks/{id}/validate devuelve TODOS los errores; AC7 UI muestra cada regla violada","Calidad: cobertura DeckValidationService >=90%; Performance: validacion <50ms",5,S2,A,../03_epicas/EPIC-03-MAZOS/EPIC.md
EPIC-03,Constructor de Mazos,HU-03-04,User Story,Eliminar mazo,jugador,borrar mazos que ya no uso,mantener mi lista limpia,"AC1 DELETE /decks/{id} si pertenece; AC2 starter del sistema -> 422 CANNOT_DELETE_STARTER; AC3 mazo de otro -> 403; AC4 confirmacion modal","",2,S2,A,../03_epicas/EPIC-03-MAZOS/EPIC.md
EPIC-03,Constructor de Mazos,HU-03-05,User Story,Marcar mazo como favorito,jugador,marcar 1 mazo como favorito,sea preseleccionado al entrar a la cola,"AC1 PUT /decks/{id}/favorite toggle; AC2 solo 1 favorito por usuario; AC3 estrella en UI","",2,S2,A,../03_epicas/EPIC-03-MAZOS/EPIC.md
EPIC-03,Constructor de Mazos,HU-03-06,User Story,Copiar mazo starter,jugador novato,copiar uno de los 3 mazos starter,empezar a jugar sin armar uno,"AC1 GET /decks/starters lista 3 starters; AC2 POST /decks/starters/{id}/copy clona; AC3 mazo copiado editable","",3,S2,A,../03_epicas/EPIC-03-MAZOS/EPIC.md
EPIC-04,Motor de Juego,HU-04-01,User Story,Iniciar partida con setup correcto,jugador,partida arranca con mulligan mano premios coin flip,jugar bajo reglas justas,"AC1 SecureRandom; AC2 mano 7 cartas; AC3 mulligan A: ambos rebarajan sin extra; AC4 mulligan B: rival roba mulliganCount-1 extra; AC5 6 premios despues de mano; AC6 deck+hand+prizes==60; AC7 coin flip; AC8 getState() player2.hand=null para player1","Calidad: cobertura SetupState >=90%; Determinismo: barajado seedeable solo en tests",8,S3,A,../03_epicas/EPIC-04-MOTOR/EPIC.md
EPIC-04,Motor de Juego,HU-04-02,User Story,Robar carta al inicio de mi turno,jugador,robar 1 carta cada inicio de turno mio,mantener opciones,"AC1 verifica mazo vacio ANTES del robo R-WIN-02; AC2 mueve primera a hand; AC3 turnsInPlay++ para mis Pokemon; AC4 evolvedThisTurn=false; AC5 CARD_DRAWN privado al dueno","",2,S3,A,../03_epicas/EPIC-04-MOTOR/EPIC.md
EPIC-04,Motor de Juego,HU-04-03,User Story,Jugar Pokemon Basico al banco,jugador,poner Basicos en el banco,tener reemplazos cuando hagan KO mi activo,"AC1 PLAY_BASIC rechaza Stage 1; AC2 banco lleno 5 -> 422 BENCH_FULL; AC3 carta a bench con instanceId UUID; AC4 POKEMON_PLAYED publico","",3,S3,A,../03_epicas/EPIC-04-MOTOR/EPIC.md
EPIC-04,Motor de Juego,HU-04-04,User Story,Adjuntar energia,jugador,pegar energias a mis Pokemon,poder atacar,"AC1 max 1 por turno (energyAttachedThisTurn); AC2 Double Colorless = 2 Colorless de 1 carta; AC3 segunda mismo turno -> 422; AC4 ENERGY_ATTACHED publico","",3,S3,A,../03_epicas/EPIC-04-MOTOR/EPIC.md
EPIC-04,Motor de Juego,HU-04-05,User Story,Evolucionar Pokemon,jugador,evolucionar para subir HP y dano,fortalecer mis Pokemon,"AC1 turnsInPlay>=1 y !evolvedThisTurn; AC2 cura condiciones pero dano permanece; AC3 Mega Evolucion termina turno; AC4 Tools y energias se conservan","",3,S3,A,../03_epicas/EPIC-04-MOTOR/EPIC.md
EPIC-04,Motor de Juego,HU-04-06,User Story,Atacar al activo enemigo (9-handlers),jugador,declarar ataque y resolverlo,hacer KO al rival,"AC1 9 handlers en orden estricto; AC2 dano = (base+bonus_atacante)*weakness - resistance - reduccion min 0; AC3 directo omite weakness/resistance; AC4 banca omite W/R; AC5 energias tipo especifico antes Colorless; AC6 Confusion 30 directo a si mismo; AC7 firstTurnAttackBlocked","Calidad: AttackPipeline DamageCalculator StatusEffectManager >=90%; Performance: <50ms",21,S4,A,../03_epicas/EPIC-04-MOTOR/EPIC.md
EPIC-04,Motor de Juego,HU-04-07,User Story,Retirar Pokemon activo,jugador,mover activo al banco pagando energias,salvar Pokemon herido,"AC1 bloqueado si ASLEEP/PARALYZED; AC2 max 1/turno; AC3 cura condiciones dano permanece Tool permanece; AC4 energias al descarte segun retreatCost","",3,S4,A,../03_epicas/EPIC-04-MOTOR/EPIC.md
EPIC-04,Motor de Juego,HU-04-08,User Story,Tomar premios al hacer KO,jugador,tomar premios al noquear,acercarme a la victoria,"AC1 KO normal 1 premio EX/MEGA 2 premios; AC2 premio a la mano del que hizo KO; AC3 sin reemplazo -> R-WIN-03; AC4 carta + adjuntos al descarte del KO'd","",3,S4,A,../03_epicas/EPIC-04-MOTOR/EPIC.md
EPIC-04,Motor de Juego,HU-04-09,User Story,Ganar la partida,jugador,sistema declare ganador segun reglas TCG,resultado oficial,"AC1 R-WIN-01 ultimo premio; AC2 R-WIN-02 mazo vacio; AC3 R-WIN-03 sin Pokemon; AC4 ambos -> SUDDEN_DEATH 1 premio; AC5 ELO solo en QUEUE; AC6 wins/losses + REFRESH leaderboard","Calidad: VictoryConditionChecker >=90%",5,S5,A,../03_epicas/EPIC-04-MOTOR/EPIC.md
EPIC-05,Multijugador y Matchmaking,HU-05-01,User Story,Crear sala privada con codigo,jugador,crear sala con codigo 6 chars,invitar amigo a jugar,"AC1 codigo 6 chars [A-Z0-9]; AC2 expira 10min; AC3 solo creador cancela; AC4 colision -> reintenta hasta 5; AC5 UI muestra codigo y Esperando rival","Concurrencia: @Transactional evita race; Limpieza: @Scheduled cada 60s",5,S7,C+B,../03_epicas/EPIC-05-MULTIJUGADOR/EPIC.md
EPIC-05,Multijugador y Matchmaking,HU-05-02,User Story,Unirme a sala con codigo,jugador invitado,entrar con codigo recibido,jugar contra mi amigo,"AC1 join con codigo valido crea Game al llegar 2do; AC2 expirado -> 410; AC3 inexistente -> 404; AC4 WS /topic/room/{code} emite a ambos","",3,S7,C+B,../03_epicas/EPIC-05-MULTIJUGADOR/EPIC.md
EPIC-05,Multijugador y Matchmaking,HU-05-03,User Story,Entrar a cola ranked,jugador competitivo,unirme a cola y ser emparejado por nivel,jugar contra rivales similares,"AC1 join con deckId -> sorted set Redis score=skillRating; AC2 sin rating -> 1000; AC3 ventana ±100 expande +50 cada 5s max ±300; AC4 match -> WS MATCH_FOUND con gameId; AC5 timeout 30s -> QUEUE_TIMEOUT; AC6 ya en cola -> 409","Concurrencia: lock Redis SET NX EX 5; Performance: P95<200ms entrada; emparejamiento <3s usuarios cercanos",8,S7,C+B,../03_epicas/EPIC-05-MULTIJUGADOR/EPIC.md
EPIC-05,Multijugador y Matchmaking,HU-05-04,User Story,Cancelar mi entrada en la cola,jugador,salirme de la cola si me canse,liberar mi tiempo,"AC1 leave me quita del sorted set; AC2 si ya match formado -> 409; AC3 boton Cancelar busqueda en UI","",2,S7,C+B,../03_epicas/EPIC-05-MULTIJUGADOR/EPIC.md
EPIC-05,Multijugador y Matchmaking,HU-05-05,User Story,Recibir eventos de partida en tiempo real,jugador en partida,ver acciones del rival al instante,experiencia fluida,"AC1 STOMP /ws + SockJS; AC2 /topic/game/{gameId} publicos; AC3 /user/queue/game privados; AC4 reconexion + getState; AC5 ngOnDestroy desconecta","Latencia: <200ms; Robustez: 50 partidas concurrentes",5,S7,A+B,../03_epicas/EPIC-05-MULTIJUGADOR/EPIC.md
EPIC-06,Tablero y Experiencia de Juego,HU-06-01,User Story,Ver mi mano activo banco premios y descarte,jugador,ver todas las zonas claramente,entender estado de la partida,"AC1 zona oponente: HP energias condicion banca dorsos contadores; AC2 zona propia: imagenes reales + drag&drop; AC3 estado SOLO via WebSocket nunca optimista; AC4 HP visible numeros + barra; AC5 marcadores condicion con icono","Performance: render <16ms; Accesibilidad: contraste AA",5,S5,B,../03_epicas/EPIC-06-TABLERO/EPIC.md
EPIC-06,Tablero y Experiencia de Juego,HU-06-02,User Story,Drag & drop de cartas,jugador,arrastrar cartas mano -> activo/banco,jugar Pokemon evolucionar adjuntar energia,"AC1 drag energia -> ATTACH_ENERGY; AC2 drag Basico -> banco; AC3 drag evolucion -> EVOLVE; AC4 drop invalido bounce; AC5 espera evento WS confirmacion","Compatibilidad: Chrome Firefox Safari",8,S6,B,../03_epicas/EPIC-06-TABLERO/EPIC.md
EPIC-06,Tablero y Experiencia de Juego,HU-06-03,User Story,Animaciones dano KO status,jugador,animaciones cuando algo importante pasa,juego se sienta dinamico,"AC1 dano: shake + numero flotante; AC2 KO: fade out + sonido opcional; AC3 status: icono pulsante; AC4 toasts (premio turno confusion)","Performance: CSS transforms GPU; Accesibilidad: prefers-reduced-motion",5,S6,B,../03_epicas/EPIC-06-TABLERO/EPIC.md
EPIC-06,Tablero y Experiencia de Juego,HU-06-04,User Story,Lobby con seleccion de modo,jugador,ver lobby con 3 opciones (PvE Ranked Sala),elegir como jugar,"AC1 tabs PvE/Ranked/Sala; AC2 PvE selector dificultad bot; AC3 Ranked selector mazo + Entrar a cola; AC4 Sala input codigo + Crear; AC5 opciones bloqueadas grayed con tooltip","Usabilidad: estado de cola con timer",5,S6,B,../03_epicas/EPIC-06-TABLERO/EPIC.md
EPIC-06,Tablero y Experiencia de Juego,HU-06-05,User Story,Chat de partida,jugador,ver mensajes (sistema bot oponente),entender que pasa o socializar,"AC1 ChatWindow scroll automatico; AC2 USER azul BOT verde-Bot SYSTEM gris; AC3 input deshabilitado si FINISHED; AC4 limite 100 chars; AC5 rate limit 1/seg","Seguridad: Angular sanitizer",3,S6,B,../03_epicas/EPIC-06-TABLERO/EPIC.md
EPIC-06,Tablero y Experiencia de Juego,HU-06-06,User Story,Responsive mobile/tablet/desktop,jugador,juego funcione en cel tablet PC,jugar desde cualquier dispositivo,"AC1 layout Tailwind CSS (grid/flex + breakpoints sm/md/lg); AC2 mobile vertical stack; AC3 drag&drop touch en tablet; AC4 sin scroll horizontal >=360px","Performance: FCP <2s en 3G; Calidad: Lighthouse >=80 Performance >=90 A11y",5,S11,B,../03_epicas/EPIC-06-TABLERO/EPIC.md
EPIC-07,Tienda y Monetizacion,HU-07-01,User Story,Ver mi balance de coins,jugador,ver mis Codemon Coins,decidir si comprar mas o gastar,"AC1 GET /users/me/wallet con balance; AC2 visible en shell logueado; AC3 actualizado tras compra/sobre","",2,S8,C+B,../03_epicas/EPIC-07-TIENDA/EPIC.md
EPIC-07,Tienda y Monetizacion,HU-07-02,User Story,Comprar coins con Mercado Pago,jugador,comprar coins con tarjeta via MP,poder comprar sobres,"AC1 create-preference -> URL checkout MP; AC2 webhook publico; AC3 idempotencia mp_event_id; AC4 approved -> creditCoins; AC5 redirect /shop/success; AC6 rechazado/pendiente registrado sin acreditar","Seguridad: webhook validado con firma; Idempotencia: replay sin duplicar; Auditoria: payment_records con mp_event_id",8,S8,C,../03_epicas/EPIC-07-TIENDA/EPIC.md
EPIC-07,Tienda y Monetizacion,HU-07-03,User Story,Comprar sobre booster pack,jugador con coins,comprar un sobre,abrirlo y conseguir cartas,"AC1 GET /booster-packs; AC2 buy descuenta coins crea PENDING_OPEN; AC3 saldo insuficiente -> 422 INSUFFICIENT_FUNDS","Concurrencia: deductCoins @Transactional atomico",5,S8,C+B,../03_epicas/EPIC-07-TIENDA/EPIC.md
